employee_id,name,wallet_address
NV001,Nguyen Van An,0x067d659b692aA03F829Aa367338Ac8203A352383
NV002,Tran Thi Binh,0x067d659b692aA03F829Aa367338Ac8203A352383
NV003,Le Van Cuong,0x067d659b692aA03F829Aa367338Ac8203A352383
NV004,Pham Thi Dung,0x067d659b692aA03F829Aa367338Ac8203A352383
NV005,Hoang Van Em,0x067d659b692aA03F829Aa367338Ac8203A352383
NV006,Vu Thi Phuong,0x067d659b692aA03F829Aa367338Ac8203A352383
NV007,Dang Van Giang,0x067d659b692aA03F829Aa367338Ac8203A352383
NV008,Bui Thi Hoa,0x067d659b692aA03F829Aa367338Ac8203A352383
NV009,Do Van Inh,0x067d659b692aA03F829Aa367338Ac8203A352383
NV010,Ngo Thi Kim,0x067d659b692aA03F829Aa367338Ac8203A352383
NV011,Duong Van Long,0x067d659b692aA03F829Aa367338Ac8203A352383
NV012,Ly Thi Mai,0x067d659b692aA03F829Aa367338Ac8203A352383
NV013,Ha Van Nam,0x067d659b692aA03F829Aa367338Ac8203A352383
NV014,Trinh Thi Oanh,0x067d659b692aA03F829Aa367338Ac8203A352383
NV015,Phan Van Phuc,0x067d659b692aA03F829Aa367338Ac8203A352383
NV016,Chu Thi Quyen,0x067d659b692aA03F829Aa367338Ac8203A352383
NV017,Ta Van Son,0x067d659b692aA03F829Aa367338Ac8203A352383
NV018,Luu Thi Thanh,0x067d659b692aA03F829Aa367338Ac8203A352383
NV019,Vo Van Uy,0x067d659b692aA03F829Aa367338Ac8203A352383
NV020,Dinh Thi Van,0x067d659b692aA03F829Aa367338Ac8203A352383
